Date,strat_total_ret,strat_excess_ret,invested_frac,n_holdings,bench_total_ret,bench_excess_ret,n_universe,RealizedDate
2010-01-01,0.005134348897304791,0.004332653156276844,1.0,147,0.0008292336217552534,-0.0031491347342398023,1618.0,2010-02-01
2010-02-01,0.024417104651162796,0.02590146124031008,1.0000000000000002,149,0.030104584352078242,0.03696448655256724,1636.0,2010-03-01
2010-03-01,0.018213771794871797,0.016766494871794876,1.0000000000000002,149,0.0264804788213628,0.018360773480662985,1629.0,2010-04-01
2010-04-01,-0.01469805194805195,-0.017083766233766236,1.0,154,-0.030991921005385996,-0.043837642130460805,1671.0,2010-05-01
2010-05-01,0.009683669934640525,0.007057535947712419,1.0000000000000002,157,0.010611915887850468,-0.004326343457943925,1712.0,2010-06-01
2010-06-01,0.013385897435897435,0.01115128205128205,1.0,156,0.0317816735415439,0.024096110783736007,1697.0,2010-07-01
2010-07-01,-0.00010093333333333303,-0.001476933333333333,0.9999999999999998,155,0.0014138561320754717,-0.012472700471698114,1696.0,2010-08-01
2010-08-01,0.02008746197183099,0.019258087323943667,1.0000000000000002,156,0.026388527498521584,0.024218628030751033,1691.0,2010-09-01
2010-09-01,0.011844594100500327,0.01066840992386339,1.0,157,0.026536140350877195,0.02469637426900585,1710.0,2010-10-01
2010-10-01,-0.0015540659082709147,-0.000704923473244156,1.0,160,-0.0071309195402298855,-0.0013710919540229885,1740.0,2010-11-01
2010-11-01,0.007128174025974027,0.008537454545454546,1.0000000000000002,163,0.01473507972665148,0.029489464692482918,1756.0,2010-12-01
2010-12-01,0.010303012820512823,0.00918516666666667,1.0000000000000002,166,0.021513726602382304,0.01945280771412365,1763.0,2011-01-01
2011-01-01,0.00791540677966102,0.008398841370255433,1.0000000000000002,166,0.01351989966555184,0.0147417502787068,1794.0,2011-02-01
2011-02-01,0.002373500549358217,0.0023648371156035626,1.0,170,0.0038793956043956046,0.00456021978021978,1820.0,2011-03-01
2011-03-01,0.008890522471910113,0.006980692883895132,1.0,169,0.014362920110192837,0.004187162534435262,1815.0,2011-04-01
2011-04-01,0.004259760589361345,0.0023986282392097586,0.9999999999999999,172,0.005496915584415584,-0.0071143398268398265,1848.0,2011-05-01
2011-05-01,-0.002716475307974264,-0.002987372670576919,1.0,173,-0.009978405464480875,-0.008149769601092897,1830.0,2011-06-01
2011-06-01,0.006816290697674417,0.005026895348837208,0.9999999999999998,176,0.011882994652406416,-0.0038603208556149734,1870.0,2011-07-01
2011-07-01,-0.01782298780487805,-0.020052012195121954,1.0000000000000002,178,-0.04130635344367325,-0.06072285104111052,1873.0,2011-08-01
2011-08-01,-0.016057062146892655,-0.015506214689265536,1.0,177,-0.029951790486370925,-0.035702886157135225,1871.0,2011-09-01
2011-09-01,0.025234857142857142,0.024634285714285713,1.0,175,0.052924076086956526,0.0557545652173913,1840.0,2011-10-01
2011-10-01,-0.005459694117647057,-0.006054005882352939,0.9999999999999997,174,-0.01682695035460993,-0.02106972176759411,1833.0,2011-11-01
2011-11-01,0.003470760233918128,0.0029309941520467837,1.0,171,0.020773579702151133,0.014599227799227798,1813.0,2011-12-01
2011-12-01,0.0105357,0.00973990909090909,0.9999999999999999,173,0.031367085152838425,0.026813045851528383,1832.0,2012-01-01
2012-01-01,0.006783565811532751,0.007537900760057925,1.0,172,0.023827844638949672,0.028307439824945296,1828.0,2012-02-01
2012-02-01,0.0021561733492821366,0.002607021296056361,1.0000000000000002,174,0.0022778322440087147,0.0076407407407407405,1836.0,2012-03-01
2012-03-01,0.0052343651297048896,0.0037632863756325878,0.9999999999999999,176,0.009346303291958985,-0.0007517539125742039,1853.0,2012-04-01
2012-04-01,0.0051749652902942,0.004481915119932224,1.0,179,-0.009660867265996827,-0.018609624537281863,1891.0,2012-05-01
2012-05-01,0.007808736835996444,0.00806883286261462,1.0000000000000004,181,0.017183672514619882,0.019045169787347153,1881.0,2012-06-01
2012-06-01,0.010753186291522061,0.009508195835399108,0.9999999999999999,179,0.017699825741525423,0.011430244247881355,1888.0,2012-07-01
2012-07-01,0.007206859962810731,0.006960714873189657,0.9999999999999998,179,0.013841113490364026,0.013678426124197002,1868.0,2012-08-01
2012-08-01,0.0069544806879762175,0.00692038645207657,1.0,180,0.015988859132297802,0.01675216925549009,1867.0,2012-09-01
2012-09-01,-0.001279759277856547,-0.001316991825317785,1.0,182,0.007766701902748414,0.00934186046511628,1892.0,2012-10-01
2012-10-01,0.004605069349558627,0.0037243851867727515,1.0000000000000002,185,0.006492660072878709,0.0024182196772514317,1921.0,2012-11-01
2012-11-01,0.012857686450902883,0.012870686298773897,0.9999999999999999,188,0.01586517489711934,0.018258744855967075,1944.0,2012-12-01
2012-12-01,0.006984774139258845,0.007304148943381364,0.9999999999999997,188,0.01641401023017903,0.021250551524296675,1955.0,2013-01-01
2013-01-01,3.8840325149989995e-05,-0.000664715140742928,1.0,190,0.005513401015228426,0.0011711675126903553,1970.0,2013-02-01
2013-02-01,0.0017375498161954388,0.0014341368347564748,1.0,193,0.011094994994994995,0.009785335335335337,1998.0,2013-03-01
